Product,Per Serve Size,Energy (kCal),Carbohydrates (g),Protein (g),Fiber (g),Sugar (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg)
Veg Kebab Surprise (Personal),73 g,192.02,13.73,5.86,0.71,4.62,12.63,3.58,0.06,3.78,561.88
Veg Maharaja Mac,177 g,472.77,56.18,21.95,4.74,0,17.81,8.11,0.25,15.12,1108.02
Veg McMuffin,306,832.67,93.84,24.17,3,11.52,37.94,16.83,0.28,36.19,1529.22
Veg Surprise,119,309.35,38.86,10.22,3,3.02,11.78,7.29,0.18,25.31,804.63
Veg Whopper,159,385.1,51.7,10.3,5,10.5,15.3,8.7,0.1,157.59,1
VEGGIE DELUXE PIZZA REGULAR,296,749,100.6,11,12,8.3,31.4,16,0,345.4,1.6
Veggie Feast (Personal),76,169.7,52.4,1.5,2.76,2.5,4,2.3,0.09,104,
Veggie Lover (Personal),143 g,362.03,53.27,15.82,3.95,0,9.91,3.76,0.11,11.87,801.89
VEGGIE PARADISE REGULAR,155 g,390.8,24.5,16.07,3.19,0,12.6,4.98,0.19,12.74,574.06
Veggie Supreme (Personal),72,156.7,48.88,7.2,2.28,2.8,3.3,1.9,0.08,80.85,
Veggie Tandoori (Personal),160 g,382.29,51.14,16.7,3.73,0,13.33,5.79,0.21,15.84,549.82
Whole Grain Oatmeal,136 g,388.81,61.1,13.23,2.22,0,14.59,6.22,0.23,16.74,732.5
Xtra Long chicken,42,160,18.01,5,4,0,2.5,0.5,0,0,125
Zesty Pocket (Chicken),211,533.5,22.1,23.4,7,9.1,21.7,5.6,0,507.78,1.5
Zesty Pocket (Veg),78.5 g,157.99,3.6,6.97,1.81,3.19,6.45,1.96,0.04,15.35,327.26
"Zesty thousand
Island Dip",77.5 g,192.91,17.3,5.7,1.94,2.95,9.08,4.22,0.13,11.4,274.33
ZINGY PARCEL CHICKEN ,20,72.3,69.5,0.3,2,2.5,6.3,1.2,0,5,0.2
ZINGY PARCEL VEG ,210,667.5,,19.2,16.92,10.6,31.3,14.1,0.56,541.49,
